"filename", "language", "pip requirements", "Python", "Markdown", "HTML", "Ini", "comment", "blank", "total"
"c:\Users\thh\Desktop\flask_date_XYK\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 5, 12
"c:\Users\thh\Desktop\flask_date_XYK\app\__init__.py", "Python", 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\thh\Desktop\flask_date_XYK\app\auth\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\thh\Desktop\flask_date_XYK\app\auth\forms.py", "Python", 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\thh\Desktop\flask_date_XYK\app\auth\views.py", "Python", 0, 87, 0, 0, 0, 0, 8, 95
"c:\Users\thh\Desktop\flask_date_XYK\app\decorators.py", "Python", 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\thh\Desktop\flask_date_XYK\app\email.py", "Python", 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\thh\Desktop\flask_date_XYK\app\main\__init__.py", "Python", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\thh\Desktop\flask_date_XYK\app\main\errors.py", "Python", 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\thh\Desktop\flask_date_XYK\app\main\forms.py", "Python", 0, 41, 0, 0, 0, 0, 8, 49
"c:\Users\thh\Desktop\flask_date_XYK\app\main\views.py", "Python", 0, 66, 0, 0, 0, 0, 5, 71
"c:\Users\thh\Desktop\flask_date_XYK\app\models.py", "Python", 0, 140, 0, 0, 0, 0, 20, 160
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\403.html", "HTML", 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\404.html", "HTML", 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\500.html", "HTML", 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\auth\change_password.html", "HTML", 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\auth\email\confirm.html", "HTML", 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\auth\login.html", "HTML", 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\auth\register.html", "HTML", 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\auth\unconfirmed.html", "HTML", 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\base.html", "HTML", 0, 0, 0, 58, 0, 0, 7, 65
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\edit_profile.html", "HTML", 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\index.html", "HTML", 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\mail\new_user.html", "HTML", 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\thh\Desktop\flask_date_XYK\app\templates\user.html", "HTML", 0, 0, 0, 31, 0, 0, 2, 33
"c:\Users\thh\Desktop\flask_date_XYK\config.py", "Python", 0, 33, 0, 0, 0, 0, 13, 46
"c:\Users\thh\Desktop\flask_date_XYK\flasky.py", "Python", 0, 19, 0, 0, 0, 1, 6, 26
"c:\Users\thh\Desktop\flask_date_XYK\migrations\alembic.ini", "Ini", 0, 0, 0, 0, 34, 0, 12, 46
"c:\Users\thh\Desktop\flask_date_XYK\migrations\env.py", "Python", 0, 33, 0, 0, 0, 29, 12, 74
"c:\Users\thh\Desktop\flask_date_XYK\migrations\versions\190163627111_account_confirmation.py", "Python", 0, 8, 0, 0, 0, 12, 7, 27
"c:\Users\thh\Desktop\flask_date_XYK\migrations\versions\198b0eebcf9_caching_of_avatar_hashes.py", "Python", 0, 8, 0, 0, 0, 12, 7, 27
"c:\Users\thh\Desktop\flask_date_XYK\migrations\versions\38c4e85512a9_initial_migration.py", "Python", 0, 23, 0, 0, 0, 12, 7, 42
"c:\Users\thh\Desktop\flask_date_XYK\migrations\versions\456a945560f6_login_support.py", "Python", 0, 12, 0, 0, 0, 12, 7, 31
"c:\Users\thh\Desktop\flask_date_XYK\migrations\versions\56ed7d33de8d_user_roles.py", "Python", 0, 12, 0, 0, 0, 12, 7, 31
"c:\Users\thh\Desktop\flask_date_XYK\migrations\versions\d66f086b258_user_information.py", "Python", 0, 16, 0, 0, 0, 12, 7, 35
"c:\Users\thh\Desktop\flask_date_XYK\requirements.txt", "pip requirements", 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\thh\Desktop\flask_date_XYK\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\thh\Desktop\flask_date_XYK\tests\test_basics.py", "Python", 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\thh\Desktop\flask_date_XYK\tests\test_user_model.py", "Python", 0, 58, 0, 0, 0, 0, 12, 70
"Total", "-", 22, 683, 7, 212, 34, 102, 208, 1268
